id,name,lname_prob,fname_prob,total_prob,link,total_receipts,total_disbursements
H6MS01156,"ADAMS, BOYCE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MS01156&tabIndex=1,$526,765.41,$510,200.03
H6FL26017,"ADAMS, DAVID ANDREW",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL26017&tabIndex=1,,
H6IA03235,"ADAMS, DESMUND DOUGLAS",1,0.9428571428571428,0.9428571428571428,0.9714285714285714,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6IA03235&tabIndex=1,$34,422.88,$30,515.52
H6FL11175,"ADAMS, EDDIE JR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL11175&tabIndex=1,$100.00,
P60009008,"ADAMS, JACK LYNN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60009008&tabIndex=1,,
P60019304,"ADAMS, PAUL R",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60019304&tabIndex=1,,
H0FL24049,"ADAMS, SANDY",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0FL24049&tabIndex=1,$180,643.11,$153,437.13
P60014453,"ADAMS, THOMAS ALAN MR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014453&tabIndex=1,,
H6MS01214,"ADCOCK, SAM",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MS01214&tabIndex=1,$316,231.96,$316,231.96
P60013992,"ADDVENSKY, MICHAEL EDWARD",0.8888888888888888,1,1,0.9444444444444444,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60013992&tabIndex=1,,
H6AL04098,"ADERHOLT, ROBERT BROWN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AL04098&tabIndex=1,$700,956.28,$507,734.17
P60004793,"ADESHINA, YINKA ABOSEDE",0.9,0.8666666666666667,0.8666666666666667,0.8833333333333333,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60004793&tabIndex=1,,
H6NY11208,"ADLER, AMBER LASHELLE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY11208&tabIndex=1,,
S6CA00634,"AGBEDE, AKINYEMI",0.9,0.8194444444444445,0.8194444444444445,0.8597222222222223,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6CA00634&tabIndex=1,,
P60008182,"AGUILAR, DANNY GOOGLE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60008182&tabIndex=1,,
H2CA31125,"AGUILAR, PETE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA31125&tabIndex=1,$1,518,434.89,$481,265.56
P60018728,"AISHI, AYANO",0.88,0.92,0.92,0.9,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60018728&tabIndex=1,,
P60010683,"AKA THE PROPHET AKA EARL, TRIPPYCUP AK",0.8152777777777778,0.7985185185185185,0.7985185185185185,0.8068981481481481,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60010683&tabIndex=1,,
P60015666,"AKAINU, SAKAZUKI F ADMIRAL",0.9222222222222222,0.8333333333333333,0.8333333333333333,0.8777777777777778,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60015666&tabIndex=1,,
P60019411,"AL? N?R?, M?RZ? &#7716;USAYN PROPHET",0.7777777777777778,0.7085714285714285,0.7085714285714285,0.7431746031746032,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60019411&tabIndex=1,,
S6MO00388,"ALAM, RABBI MD",1,0.88,0.88,0.94,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6MO00388&tabIndex=1,,
H6UT02390,"ALBARRAN, CHARLENE MCARTHUR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6UT02390&tabIndex=1,$54,100.00,$1,554.10
S6CA00618,"ALBERTSON, STEWART",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6CA00618&tabIndex=1,$30,949.00,$30,949.00
P60005543,"ALDRIDGE, ROBERT FRANK",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005543&tabIndex=1,,
H6OR05168,"ALLAN, SETH",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OR05168&tabIndex=1,,
P60016433,"ALLEN, ALICE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60016433&tabIndex=1,,
P60014263,"ALLEN, BENJAMIN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014263&tabIndex=1,,
P60017126,"ALLEN, BRIAN CLIFFORD MR.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60017126&tabIndex=1,,
P60008711,"ALLEN, DARRYL GLENN MR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60008711&tabIndex=1,,
P40003600,"ALLEN, JAMES PRESSLEY",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P40003600&tabIndex=1,,
P60017837,"ALLEN, JEREMIAH EDWARD",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60017837&tabIndex=1,,
P60013646,"ALLEN, NICHOLAS ADAMS",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60013646&tabIndex=1,,
H2GA12121,"ALLEN, RICHARD W",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2GA12121&tabIndex=1,$607,517.33,$463,534.26
P60005121,"ALLEN-REESE, POGO MOCHELLO",0.9090909090909091,0.7777777777777778,0.7777777777777778,0.8434343434343434,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005121&tabIndex=1,$13,536.00,$13,536.00
H4MA09052,"ALLIEGRO, MARK C",0.9583333333333334,1,1,0.9791666666666667,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4MA09052&tabIndex=1,,
H4NV02136,"ALM, VANCE STEVEN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NV02136&tabIndex=1,,
P60009636,"ALSUP, WILLIAM",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60009636&tabIndex=1,,
P60007432,"ALTIMARI, JOSEPH",0.9416666666666667,1,1,0.9708333333333333,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60007432&tabIndex=1,,
H0MI03126,"AMASH, JUSTIN",0.96,1,1,0.98,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI03126&tabIndex=1,$415,039.84,$396,094.48
H4AS00036,"AMATA, AUMUA",0.96,0.8444444444444444,0.8444444444444444,0.9022222222222223,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4AS00036&tabIndex=1,$8,975.00,$7,362.02
P60010279,"AMEDE, AARON",0.9666666666666667,1,1,0.9833333333333334,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60010279&tabIndex=1,,
H2NV02395,"AMODEI, MARK EUGENE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2NV02395&tabIndex=1,$336,612.11,$227,775.17
P60013984,"AMOROSO, JACOB PATRICK MR.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60013984&tabIndex=1,,
P60010543,"ANCHONDO, HECTOR RUBEN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60010543&tabIndex=1,,
H6MD08515,"ANDERSON, DAVID M",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MD08515&tabIndex=1,$111,432.40,$64,405.03
P60011632,"ANDERSON, JOHN LESTER MR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011632&tabIndex=1,,
P60006053,"ANDERSON, JOSEPH EDWARD DR. JR.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60006053&tabIndex=1,,
S6WI00152,"ANDERSON, PHILLIP NORMAN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6WI00152&tabIndex=1,,
H6FL23048,"ANDERSON, STEPHANIE MS.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL23048&tabIndex=1,,
H6CA22166,"ANDRES, TERESITA AYA",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA22166&tabIndex=1,,
P60005592,"ANDREWS, CHARLES PERRY III",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005592&tabIndex=1,,
P60012911,"ANNA, SANTA MR. THE III",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60012911&tabIndex=1,,
P60011210,"ANNATAR, SAURON TAR",0.9523809523809524,0.8888888888888888,0.8888888888888888,0.9206349206349207,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011210&tabIndex=1,,
H6TX13126,"ANSEL, JEFFREY",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX13126&tabIndex=1,$4,767.00,$2,320.79
H6FL06142,"ANTHONY, MALCOLM",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL06142&tabIndex=1,$17,888.96,$3,373.49
P60018736,"ANTICHRIST, THE",0.92,0.9416666666666667,0.9416666666666667,0.9308333333333334,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60018736&tabIndex=1,,
P60007325,"ANTLEY, RAY MILLS JR MD",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60007325&tabIndex=1,,
P60008869,"ANZOLI, ARMANDO",0.888888888888889,1,1,0.9444444444444444,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60008869&tabIndex=1,,
H6CA09106,"APPLEBY, ALEXANDER E",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA09106&tabIndex=1,,
H6CA49102,"APPLEGATE, DOUGLAS LOREN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA49102&tabIndex=1,$39,152.72,$27,608.72
P60005659,"ARAYLE, NICOLE LYNN",0.9277777777777777,1,1,0.9638888888888888,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005659&tabIndex=1,,
P60009479,"ARCAYA, RENNY",0.9555555555555556,0.9333333333333332,0.9333333333333332,0.9444444444444444,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60009479&tabIndex=1,,
P60016565,"AREF, FAHIM FAHIM JR",0.9166666666666666,0.8577777777777779,0.8577777777777779,0.8872222222222222,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60016565&tabIndex=1,,
P60015427,"AREVALO, NORMAN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60015427&tabIndex=1,,
S4SC00232,"ARMSTRONG, BRANDON CHRISTINA",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4SC00232&tabIndex=1,,
P60005402,"ARMSTRONG, BRANDON CHRISTINA",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005402&tabIndex=1,,
H6AZ08178,"ARMSTRONG-STONER, DEREK JAMES",0.9125,1,1,0.95625,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AZ08178&tabIndex=1,$1,100.00,$542.38
H6NE02141,"ARNESON, DIRK EDWARD",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NE02141&tabIndex=1,,
P60019155,"ARNOLD-GALATI, AIDAN DONAVON",0.8923076923076924,0.96,0.96,0.9261538461538461,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60019155&tabIndex=1,,
H6TX19099,"ARRINGTON, JODEY COOK",1,0.9533333333333333,0.9533333333333333,0.9766666666666666,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX19099&tabIndex=1,$281,196.45,$91,971.50
H6CA53047,"ASH, JAMES",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA53047&tabIndex=1,,
P00003715,"ASHE, WARREN RODERICK ",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P00003715&tabIndex=1,,
P60008240,"ASHER, PAUL",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60008240&tabIndex=1,,
H4NE02054,"ASHFORD, BRAD",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NE02054&tabIndex=1,$927,880.56,$262,529.54
H6OH08117,"ASHWORTH, MATTHEW",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6OH08117&tabIndex=1,,
P60008703,"ASKIN, RAY WILLIAM MR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60008703&tabIndex=1,,
P60011665,"ASS, DAT",0.9249999999999999,0.8933333333333333,0.8933333333333333,0.9091666666666667,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011665&tabIndex=1,,
P60014818,"ASS, MMMM DAT MR.",0.9249999999999999,0.8333333333333334,0.8333333333333334,0.8791666666666667,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014818&tabIndex=1,,
H4NY29098,"ASSINI, MARK W",0.9722222222222222,1,1,0.9861111111111112,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY29098&tabIndex=1,$12,745.00,$996.17
H6NY25166,"ASSINI, MARK W",0.9722222222222222,1,1,0.9861111111111112,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NY25166&tabIndex=1,$12,745.00,$996.17
P60007234,"ASTOR, HOWELL ALEXANDER",1,0.9111111111111112,0.9111111111111112,0.9555555555555556,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60007234&tabIndex=1,,
H0IL09080,"ATANUS, SUSANNE",0.888888888888889,1,1,0.9444444444444444,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IL09080&tabIndex=1,,
H6CA52114,"ATKINSON, JACQUIE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA52114&tabIndex=1,$110,825.71,$68,101.17
P60019122,"ATKINSON, WILLIAM FLOYD MR.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60019122&tabIndex=1,,
P60018926,"AUSTIN, DOROTHY JAMES",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60018926&tabIndex=1,,
P60019320,"AVERSA, RICHARD MR.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60019320&tabIndex=1,,
P60011046,"AVILA, ISABEL GABRIELLA",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011046&tabIndex=1,,
S0NH00235,"AYOTTE, KELLY A",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0NH00235&tabIndex=1,$3,122,568.00,$1,055,637.00
P60015229,"B, LIL BASED GOD",0.8500000000000001,0.9416666666666667,0.9416666666666667,0.8958333333333334,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60015229&tabIndex=1,,
H2AZ04127,"BABEU, PAUL RAYMOND",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AZ04127&tabIndex=1,$308,702.87,$58,929.47
H6TX02079,"BABIN, BRIAN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX02079&tabIndex=1,$614,343.24,$322,641.07
P60018744,"BACKUS, ALAN LESTER",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60018744&tabIndex=1,,
H6NE02125,"BACON, DONALD JOHN MR.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NE02125&tabIndex=1,,
H6AZ03195,"BACON, EAT",1,0.8666666666666667,0.8666666666666667,0.9333333333333333,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6AZ03195&tabIndex=1,,
P60010048,"BAE, ELSA IS",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60010048&tabIndex=1,,
P80003957,"BAILEY, GEORGE BRENT JR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P80003957&tabIndex=1,,
H0IL01152,"BAILEY, HAROLD L.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IL01152&tabIndex=1,,
P60009602,"BAIRD, DUSTIN ALAN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60009602&tabIndex=1,,
H6CO07098,"BAKER, BRUCE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CO07098&tabIndex=1,,
P60011079,"BAKER, CHRISTOPHER",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011079&tabIndex=1,,
H6TX06153,"BAKER, COLLIN JAMES",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX06153&tabIndex=1,,$56.00
P60005428,"BAKER, EDWARD LANE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60005428&tabIndex=1,,
P20004586,"BAKER, JACOB",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P20004586&tabIndex=1,,
P60011749,"BAKER, JESSE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011749&tabIndex=1,,
H6MD06220,"BAKER, TERRY",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MD06220&tabIndex=1,$16,424.76,$14,606.16
P60011012,"BALBOA, ROCKY",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011012&tabIndex=1,,
H4PA07092,"BALCHUNIS, MARY ELLEN",0.9555555555555556,1,1,0.9777777777777779,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4PA07092&tabIndex=1,$40,038.63,$30,235.29
H6ME02122,"BALDACCI, JOSEPH M.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6ME02122&tabIndex=1,$192,621.31,$116,617.89
P60011228,"BALDWIN, DOUGLAS JOHN MR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011228&tabIndex=1,,
P60013745,"BALDWIN, DUSTI",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60013745&tabIndex=1,,
P60011145,"BALLS, DEM",1,0.8933333333333333,0.8933333333333333,0.9466666666666667,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60011145&tabIndex=1,,
P60015583,"BALLS, KC MATZO",1,0.8500000000000001,0.8500000000000001,0.925,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60015583&tabIndex=1,,
P60012184,"BALLSACK, DONALD TRUMP'S HAIRY KING",0.9583333333333334,1,1,0.9791666666666667,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60012184&tabIndex=1,,
H6WI07140,"BANGSTAD, KIRK",0.925,1,1,0.9625,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6WI07140&tabIndex=1,$147,069.37,$145,479.22
H6IN03229,"BANKS, JAMES E",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6IN03229&tabIndex=1,$435,625.76,$76,986.24
P60012788,"BANNERMAN, JOSEPH",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60012788&tabIndex=1,,
P60018702,"BARBINE, MICHAEL W.",0.9714285714285714,1,1,0.9857142857142858,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60018702&tabIndex=1,,
H6NJ01196,"BARD, GAVIN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NJ01196&tabIndex=1,,
H6IL12099,"BARICEVIC, CHARLES JOHN",0.9111111111111111,1,1,0.9555555555555555,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6IL12099&tabIndex=1,$265,684.00,$147,985.06
H2CA00096,"BARKLEY, MICHAEL JAMES",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA00096&tabIndex=1,$5,027.02,$5,163.68
H2PA11098,"BARLETTA, LOU",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2PA11098&tabIndex=1,$490,437.22,$327,582.35
P60007788,"BARNES, DYJUAN D",1,0.9111111111111111,0.9111111111111111,0.9555555555555555,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60007788&tabIndex=1,,
H6DE01097,"BARNEY, SEAN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6DE01097&tabIndex=1,$83,149.00,$5,137.76
P60007614,"BARNHART, DONALD LEWIS MR. JR",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60007614&tabIndex=1,,
P60014834,"BARO, PARKER JOHN",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60014834&tabIndex=1,,
H0KY06104,"BARR, GARLAND ANDY",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0KY06104&tabIndex=1,$1,174,301.05,$499,972.47
H6CA44103,"BARRAGAN, NANETTE",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA44103&tabIndex=1,$432,987.72,$144,937.08
H6TX27092,"BARRERA, RAUL (ROY)",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX27092&tabIndex=1,,
H6FL06100,"BARRINGER, ADAM",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL06100&tabIndex=1,$261,437.63,$119,560.39
H6TX18141,"BARTLEY, LORI ANITA MRS.",1,1,1,1,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX18141&tabIndex=1,$3,221.01,$3,173.82
